"Air Transportation, Nonscheduled",Air Transport
REIT - Diversified,Industry Group
Financial Conglomerates,Banks (Regional)
Family Clothing Stores,Retail (Automotive)
Rental & Leasing Services,Air Transport
Industrial Organic Chemicals,Chemical (Diversified)
Rubber and Plastics Footwear,Publishing & Newspapers
Bituminous Coal And Lignite Mining,Coal & Related Energy
Totalizing Fluid Meters and Counting Devices,Industry Group
Recreational Vehicles,Auto & Truck
Women's Clothing Stores,Tobacco
REIT - Specialty,Industry Group
"Motorcycles, Bicycles, and Parts",Industry Group
Water Transportation,Transportation
Employment Agencies,Oil/Gas (Integrated)
Real Estate - Diversified,Auto Parts
Bakery Products,Household Products
Malt Beverages,Beverage (Soft)
Advertising,Advertising
Miscellaneous Amusement And Recreation,Construction Supplies
Medical Care Facilities,Office Equipment & Services
Insurance Brokers,Insurance (General)
Computer Programming Services,Computer Services
Motion Picture Theaters,Transportation
Groceries And Related Products,Industry Group
Food Stores,Retail (Grocery and Food)
Public Warehousing And Storage,Trucking
REIT - Hotel & Motel,Industry Group
"Automotive Repair, Services, and Parking",Retail (Automotive)
Lodging,Transportation
"Building Materials, Hardware, Garden Supply, and Mobile Home Dealers",Electronics (General)
Utilities - Regulated Water,Industry Group
Electric Housewares and Fans,Electronics (General)
REIT - Healthcare Facilities,Industry Group
Waste Management,Environmental & Waste Services
Specialty Business Services,Industry Group
Industrial Distribution,Air Transport
Ophthalmic Goods,Industry Group
Scientific & Technical Instruments,Real Estate (Development)
Electrical Equipment & Parts,Industry Group
Trucking,Trucking
Regulated Electric,Industry Group
Utilities - Renewable,Advertising
REIT - Residential,Homebuilding
Luxury Goods,Household Products
Apparel Manufacturing,Rubber& Tires
Television Broadcasting Stations,Cable TV
Gambling,Industry Group
Leisure,Food Processing
REIT - Office,Industry Group
Tools & Accessories,Chemical (Diversified)
Education & Training Services,Education
Pharmaceutical Retailers,Insurance (Life)
Oil & Gas Drilling,Oil/Gas (Production and Exploration)
"Functions Related to Depository Banking, Not Elsewhere Classified",Industry Group
Staffing & Employment Services,Office Equipment & Services
Marine Shipping,Trucking
Utilities-Regulated Electric,Coal & Related Energy
Health Information Services,Telecom. Services
"Air Transportation, Scheduled",Industry Group
Lumber & Wood Production,Paper/Forest Products
Insurance - Reinsurance,Insurance (Life)
Other,Transportation
Metal Fabrication,Construction Supplies
Electronics & Computer Distribution,Electronics (Consumer & Office)
"Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices",Brokerage & Investment Banking
Textile Manufacturing,Engineering/Construction
"Communications Equipment, not elsewhere classified",Utility (Water)
-,Transportation
Nonstore Retailers,Industry Group
"Investors, not elsewhere classified",Shipbuilding & Marine
Publishing,Computer Services
Shell Companies,Chemical (Diversified)
Pollution & Treatment Controls,Utility (Water)
Uranium-Radium-Vanadium Ores,Precious Metals
Gold Ores,Metals & Mining
Uranium,Drugs (Biotechnology)
Industrial Materials,Telecom. Equipment
Storage Batteries,Auto & Truck
Copper Ores,Metals & Mining
"Miscellaneous Metal Ores, Not Elsewhere Classified",Utility (Water)
Investment Offices,Investments & Asset Management
Metal Mining Services,Metals & Mining
Security & Protection Services,Household Products
Automatic Controls for Regulating Residential and Commercial Environments and Appliances,Air Transport
Non-operating Establishments,Real Estate (General/Diversified)
Medicinal Chemicals and Botanical Products,Industry Group
Food and Kindred Products,Utility (Water)
Sanitary Services,Industry Group
"Groceries and Related Products, not elsewhere classified",Utility (Water)
Broadcasting,Broadcasting
Insurance - Specialty,Industry Group
Airports & Air Services,Tobacco
Thermal Coal,Coal & Related Energy
Coking Coal,Coal & Related Energy
Other Precious Metals,Precious Metals
Mortgage Finance,Real Estate (Development)
Business Equipment & Supplies,Office Equipment & Services
Agricultural Farm Products,Food Processing
Oil & Gas,Oil/Gas (Production and Exploration)
Information Technology,Computer Services
Software - Services,Software (System & Application)
Asset Management - Income,Industry Group
Medical - Specialties,Drugs (Pharmaceutical)
Household Appliances,Food Processing
Miscellaneous General Merchandise Stores,Retail (General)
"Hobby, Toy, and Game Shops",Industry Group
"Mining Machinery and Equipment, Except Oil and Gas Field Machinery and Equipment",Metals & Mining
Automobiles & Auto Parts,Auto Parts
"Jewelry, Precious Metal",Precious Metals
Insurance Carriers,Utility (General)
Tobacco Products,Industry Group
"Abrasive, Asbestos, And Miscellaneous Nonmetallic Mineral Products",Utility (Water)
Industrial and Commercial Machinery and Computer Equipment,Education
Miscellaneous Transportation Equipment,Utility (Water)
"Books: Publishing, or Publishing and Printing",Insurance (General)
Medical - Pharmaceuticals,Utility (Water)
Financial - Diversified,Investments & Asset Management
Miscellaneous Repair Services,Industry Group
Agriculture Production Livestock and Animal Specialties,Industry Group
"Short-Term Business Credit Institutions, Except Agricultural",Bank (Money Center)
Miscellaneous Shopping Goods Stores,Entertainment
Building Construction General Contractors and Operative Builders,Engineering/Construction
Real Estate,Industry Group
"Industrial Trucks, Tractors, Trailers, and Stackers",Engineering/Construction
"Hardware, Equipment & Parts",Industry Group
"Machinery, Equipment, And Supplies",Utility (Water)
Motion Picture and Video Tape Production,Industry Group
"Special Industry Machinery, Except Metalworking",Industry Group
"Electronic Coils, Transformers, and Other Inductors",Building Materials
"Industrial Organic Chemicals, not elsewhere classified",Industry Group
Investment - Banking & Investment Services,Bank (Money Center)
Silver Ores,Industry Group
Lumber And Other Construction Materials,Retail (Building Supply)
"Jewelry, Watches, Precious Stones, and Precious Metals",Utility (General)
Personal Products & Services,Household Products
"Ferroalloy Ores, except Vanadium",Industry Group
"Trucking And Courier Services, Except Air",Industry Group
Industrial Sand,Building Materials
"Offices of Holding Companies, Not Elsewhere Classified",Industry Group
Apparel and Accessory Stores,Insurance (General)
Health Services,Retail (Building Supply)
Oil & Gas Energy,Oil/Gas Distribution
Financial - Capital Markets,Precious Metals
Video Tape Rental,Utility (Water)
Professional & Commercial Services,Education
Oil and Gas Field Exploration Services,Industry Group
Motor Vehicle Dealers (new And Used),Business & Consumer Services
Miscellaneous Business Services,Utility (Water)
"Measuring, Analyzing, and Controlling Instruments; Photographic, Medical and Optical Goods; Watches and Clocks",Insurance (Life)
Chemicals and Allied Products,Industry Group
"Savings Institutions, Federally Chartered",Software (Entertainment)
Multi-Sector Holdings,Industry Group
Offices of Bank Holding Companies,Industry Group
Skilled Nursing Care Facilities,Real Estate (Operations & Services)
Drilling Oil and Gas Wells,Oil/Gas Distribution
Heavy Construction Other Than Building Construction Contractors,Engineering/Construction
"Services Allied With the Exchange of Securities or Commodities, Not Elsewhere Classified",Utility (Water)
State Commercial Banks,Bank (Money Center)
Industrial - Machinery,Education
Personal & Household Products & Services,Household Products
Life Sciences Tools & Services,Drugs (Biotechnology)
Furniture Stores,Retail (Grocery and Food)
Help Supply Services,Retail (Building Supply)
Apparel - Manufacturers,Auto Parts
Operators of Nonresidential Buildings,Utility (Water)
Truck and Bus Bodies,Auto & Truck
Independent Power Producers,Coal & Related Energy
Media & Entertainment,Entertainment
Services Allied to Motion Picture Production,Industry Group
Industrial - Specialties,Chemical (Diversified)
Medical - Healthcare Information Services,Computer Services
"Gambling, Resorts & Casinos",Hotel/Gaming
Food & Tobacco,Chemical (Diversified)
Operators of Apartment Buildings,Transportation (Railroads)
Electronic Components And Accessories,Electronics (Consumer & Office)
Miscellaneous Investing,Utility (General)
Regulated Gas,Industry Group
"Converted Paper And Paperboard Products, Except Containers And Boxes",Paper/Forest Products
Real Estate Operators (except Developers) And Lessors,Industry Group
Miscellaneous Manufacturing Industries,Utility (Water)
Oil and Gas Extraction,Oil/Gas (Production and Exploration)
Metals & Mining,Metals & Mining
"Sporting and Athletic Goods, not elsewhere classified",Utility (Water)
Coal Mining,Coal & Related Energy
Construction Machinery and Equipment,Engineering/Construction
Diversified Multi-Media,Broadcasting
Switchgear and Switchboard Apparatus,Construction Supplies
General Industrial Machinery And Equipment,Education
Cookies and Crackers,Industry Group
"Metal Doors, Sash, Frames, Molding, and Trim Manufacturing",Industry Group
"Accounting, Auditing, and Bookkeeping Services",Business & Consumer Services
Beverages,Beverage (Alcoholic)
Pumps and Pumping Equipment,Utility (Water)
Fats And Oils,Green & Renewable Energy
General Building Contractors-nonresidential,Industry Group
Aircraft And Parts,Air Transport
"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills",Coal & Related Energy
Deep Sea Foreign Transportation of Freight,Utility (Water)
Paperboard Mills,Industry Group
Computers and Computer Peripheral Equipment and Software,Industry Group
"Plastics Materials And Synthetic Resins, Synthetic Rubber, Cellulosic And Other Manmade Fibers, Except Glass",Industry Group
"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elastomers",Industry Group
"Lumber and Wood Products, except Furniture",Industry Group
"Radio, Television, and Consumer Electronics Stores",Electronics (Consumer & Office)
"Newspapers: Publishing, or Publishing and Printing",Software (System & Application)
Primary Smelting And Refining Of Nonferrous Metals,Precious Metals
Metal Cans,Transportation
Primary Production of Aluminum,Precious Metals
Surety Insurance,Utility (General)
General Building Contractors-residential,Engineering/Construction
"Canned Fruits, Vegetables, Preserves, Jams, and Jellies",Industry Group
Computer and Computer Software Stores,Computer Services
Poultry Slaughtering and Processing,Utility (Water)
"Detective, Guard, and Armored Car Services",Industry Group
Chemicals And Allied Products,Industry Group
"Steel Works, Blast Furnaces, And Rolling And Finishing Mills",Industry Group
Industrial Machinery and Equipment,Education
"Heating Equipment, Except Electric And Warm Air; And Plumbing Fixtures",Steel
Carpets and Rugs,Beverage (Alcoholic)
Refrigeration And Service Industry Machinery,Steel
"Automotive Rental And Leasing, Without Drivers",Industry Group
Arrangement of Transportation of Freight and Cargo,Air Transport
Structural Clay Products,Chemical (Diversified)
Industrial and Commercial Fans and Blowers and Air Purification Equipment,Utility (Water)
Glass Containers,Packaging & Container
"Gaskets, Packing, And Sealing Devices And Rubber And Plastics Hose And Belting",Utility (Water)
Drug Stores and Proprietary Stores,Retail (Grocery and Food)
Tires and Inner Tubes,Rubber& Tires
"Glass And Glassware, Pressed Or Blown",Industry Group
Oil and Gas Field Machinery and Equipment,Industry Group
Professional Sports Clubs and Promoters,Entertainment
Photographic Equipment and Supplies,Electronics (Consumer & Office)
Ship And Boat Building And Repairing,Homebuilding
"Furniture and Fixtures, not elsewhere classified",Utility (Water)
Miscellaneous Retail,Utility (Water)
Musical Instruments,Industry Group
Management Consulting Services,Investments & Asset Management
"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems, Instruments, and Equipment",Broadcasting
Miscellaneous Industrial And Commercial Machinery And Equipment,Utility (Water)
"Medical, Dental, and Hospital Equipment and Supplies",Machinery
Textile Mill Products,Industry Group
Construction & Engineering,Engineering/Construction
REIT-Residential,R.E.I.T.
"Lessors of Real Property, Not Elsewhere Classified",Industry Group
"Management Investment Offices, Open-End",Industry Group
"Recreational Goods, Other",Industry Group
Property & Casualty Insurance,Insurance (General)
Communication Services,Industry Group
REIT-Hotel & Motel,Industry Group
Electronics Wholesale,Retail (General)
"Jewelry, Silverware, And Plated Ware",Industry Group
Fabricated Plate Work (Boiler Shops),Industry Group
Medical - Diagnostics & Research,Retail (Automotive)
Medical Appliances & Equipment,Industry Group
Semiconductor - Broad Line,Electronics (Consumer & Office)
Diversified Machinery,Industry Group
Banks,Metals & Mining
Construction,Engineering/Construction
Adhesives and Sealants,Construction Supplies
Drawing and Insulating of Nonferrous Wire,Industry Group
Regional - Midwest Banks,Utility (Water)
Testing Laboratories,Telecom. Services
Steel Pipe and Tubes,Industry Group
Industrial - Capital Goods,Household Products
"Footwear, Except Rubber",Industry Group
Jewelry Stores,Industry Group
Distilled and Blended Liquors,Beverage (Alcoholic)
Public Building and Related Furniture,Industry Group
"Women's, Misses', And Juniors' Outerwear",Industry Group
"Power, Distribution, and Specialty Transformers",Coal & Related Energy
Telephone Communications,Office Equipment & Services
Air Courier Services,Utility (General)
Accident and Health Insurance,Insurance (General)
Convenience Stores,Retail (Grocery and Food)
Agricultural Production Crops,Food Processing
"Rolling, Drawing, And Extruding Of Nonferrous Metals",Industry Group
Amusement Parks,Chemical (Basic)
Finance Lessors,Industry Group
Miscellaneous Chemical Products,Computer Services
Legal Services,Industry Group
"Glass Products, Made of Purchased Glass",Industry Group
"Equipment Rental and Leasing, not elsewhere classified",Industry Group
"Pipelines, Except Natural Gas",Oil/Gas (Production and Exploration)
"Wines, Brandy, and Brandy Spirits",Beverage (Alcoholic)
Travel Lodging,Food Processing
Gas and Other Services Combined,Coal & Related Energy
Household Furniture,Retail (Grocery and Food)
"Cutlery, Handtools, And General Hardware",Industry Group
"Water, Sewer, Pipeline, and Communications and Power Line Construction",Industry Group
Miscellaneous Plastics Products,Industry Group
Title Insurance,Utility (Water)
Fabricated Structural Metal Products,Construction Supplies
Metals Service Centers and Offices,Industry Group
Phonograph Records and Prerecorded Audio Tapes and Disks,Industry Group
Asphalt Paving And Roofing Materials,Industry Group
"Electrical Apparatus and Equipment Wiring Supplies, and Construction Materials",Semiconductor
Hazardous Waste Management,Environmental & Waste Services
Construction and Mining (Except Petroleum) Machinery and Equipment,Banks (Regional)
Miscellaneous business Credit Institutions,Chemical (Diversified)
Paper and Allied Products,Paper/Forest Products
Dairy Products,Food Processing
"Watches, Clocks, Clockwork Operated Devices, and Parts",Utility (General)
"Electronic Parts and Equipment, not elsewhere classified",Industry Group
"Paper, Lumber & Forest Products",Paper/Forest Products
Paper And Paper Products,Paper/Forest Products
Membership Sports and Recreation Clubs,Industry Group
Commercial Printing,Industry Group
Pottery And Related Products,Industry Group
"Fishing, Hunting, and Trapping",Utility (Water)
"Plastics Products, not elsewhere classified",Industry Group
Radio Broadcasting Stations,Broadcasting
Flat Glass,Retail (Automotive)
"Savings Institutions, Not Federally Chartered",Software (Entertainment)
Miscellaneous Primary Metal Products,Utility (Water)
Unsupported Plastics Film and Sheet,Industry Group
Computer Rental and Leasing,Air Transport
"Metal Shipping Barrels, Drums, Kegs, and Pails",Industry Group
Shoe Stores,Retail (Grocery and Food)
Home Health Care Services,Retail (Building Supply)
Child Day Care Services,Retail (Building Supply)
Household Audio and Video Equipment,Software (Entertainment)
"Sawmills and Planing Mills, General",Industry Group
Motor Homes,Auto & Truck
Miscellaneous Products Of Petroleum And Coal,Oil/Gas (Integrated)
"Plastics, Foil, and Coated Paper Bags",Industry Group
Professional And Commercial Equipment And Supplies,Air Transport
Management Services,Investments & Asset Management
"Apparel, Piece Goods, And Notions",Engineering/Construction
"Metals And Minerals, Except Petroleum",Industry Group
Sausages and Other Prepared Meat Products,Computer Services
"Office Machines, not elsewhere classified",Machinery
Petroleum Bulk Stations and Terminals,Industry Group
Real Estate Dealers,R.E.I.T.
"Coating, Engraving, And Allied Services",Telecom. Equipment
"Printing, Publishing, and Allied Industries",Aerospace/Defense
"Home Furniture, Furnishings, and Equipment Stores",Telecom. Equipment
"Electrical Appliances, Television and Radio Sets",Electronics (Consumer & Office)
Prepared Fresh or Frozen Fish and Seafoods,Industry Group
"Lumber, Plywood, Millwork, and Wood Panels",Building Materials
Facilities Support Management Services,Engineering/Construction
"Bolts, Nuts, Screws, Rivets, and Washers",Industry Group
Nonferrous Foundries (castings),Industry Group
Nursing And Personal Care Facilities,Real Estate (Operations & Services)
"Consumer Credit Reporting Agencies, Mercantile",Advertising
"Machine Tools, Metal Cutting Types",Construction Supplies
"Groceries, General Line",Utility (Water)
"Pens, Pencils, And Other Artists Materials",Computers/Peripherals
Secondary Smelting and Refining of Nonferrous Metals,Precious Metals
Eating And Drinking Places,Real Estate (Operations & Services)
"Periodicals: Publishing, or Publishing and Printing",Insurance (General)
"Office Furniture, except Wood",Industry Group
Farm-product Raw Materials,Industry Group
Loan Brokers,Industry Group
Sheet Metal Work,Construction Supplies
Social Services,Electronics (Consumer & Office)
"Insurance Carriers, not elsewhere classified",Industry Group
Coal,Drugs (Pharmaceutical)
Hardware,Industry Group
"Women's, Misses', Children's, And Infants' Undergarments",Industry Group
"Mailing, Reproduction, Commercial Art And Photography, and Stenographic Services",Industry Group
"Calculating and Accounting Machines, Except Electronic Computers",Industry Group
Metal Forgings And Stampings,Machinery
Pulp Mills,Chemical (Diversified)
"Broadwoven Fabric Mills, Manmade Fiber and Silk",Industry Group
"Broadwoven Fabric Mills, Cotton",Utility (Water)
Business Development Company,Investments & Asset Management
Federal and Federally-Sponsored Credit Agencies,Industry Group
Agricultural Services,Telecom. Services
Miscellaneous Fabricated Textile Products,Utility (Water)
Office Furniture,Retail (Grocery and Food)
Printing Trades Machinery and Equipment,Entertainment
Motion Picture and Video Tape Distribution,Software (Entertainment)
"Blankbooks, Looseleaf Binders, And Bookbinding",Industry Group
"Millwork, Veneer, Plywood, And Structural Wood Members",Industry Group
Miscellaneous Non-durable Goods,Utility (Water)
Miscellaneous Services,Utility (Water)
Photofinishing Laboratories,Telecom (Wireless)
Transportation Equipment,Trucking
Plastics Foam Products,Industry Group
